nohup: ignoring input
Live attack monitor started. Already-blocked IPs loaded: 11
Threshold: score >= 8.5669 AND burst >= 10
Watching: /home/cowrie/cowrie/var/log/cowrie/cowrie.json
  [monitor] 109.160.32.118: commands=6 score=1.252 burst=2
  [monitor] 84.236.153.83: commands=2 score=0.820 burst=1
  [monitor] 109.160.32.118: commands=12 score=1.551 burst=2
  [monitor] 84.236.153.83: commands=2 score=0.820 burst=1
  [monitor] 109.160.32.118: commands=20 score=1.789 burst=2
  [monitor] 84.236.153.83: commands=2 score=0.820 burst=1
  [monitor] 109.160.32.118: commands=26 score=1.924 burst=2
  [monitor] 84.236.153.83: commands=2 score=0.820 burst=1
  [monitor] 109.160.32.118: commands=32 score=2.144 burst=2
  [monitor] 84.236.153.83: commands=2 score=0.820 burst=1
  [monitor] 109.160.32.118: commands=38 score=2.391 burst=2
  [monitor] 84.236.153.83: commands=2 score=0.820 burst=1
  [monitor] 203.189.188.176: commands=4 score=2.798 burst=4
  [monitor] 109.160.32.118: commands=44 score=2.616 burst=2
  [monitor] 84.236.153.83: commands=2 score=0.820 burst=1
  [monitor] 203.189.188.176: commands=4 score=2.798 burst=4
  [monitor] 109.160.32.118: commands=50 score=2.823 burst=2
  [monitor] 84.236.153.83: commands=2 score=0.820 burst=1
  [monitor] 203.189.188.176: commands=4 score=2.798 burst=4
  [monitor] 109.160.32.118: commands=56 score=3.001 burst=2
  [monitor] 84.236.153.83: commands=2 score=0.820 burst=1
  [monitor] 203.189.188.176: commands=4 score=2.798 burst=4
  [monitor] 109.160.32.118: commands=62 score=3.027 burst=2
  [monitor] 84.236.153.83: commands=2 score=0.820 burst=1
  [monitor] 203.189.188.176: commands=4 score=2.798 burst=4
  [monitor] 180.210.130.30: commands=2 score=0.820 burst=1
  [monitor] 109.160.32.118: commands=68 score=3.052 burst=2
  [monitor] 84.236.153.83: commands=2 score=0.820 burst=1
  [monitor] 203.189.188.176: commands=4 score=2.798 burst=4
  [monitor] 180.210.130.30: commands=2 score=0.820 burst=1
  [monitor] 109.160.32.118: commands=74 score=3.076 burst=2
  [monitor] 84.236.153.83: commands=2 score=0.820 burst=1
  [monitor] 203.189.188.176: commands=4 score=2.798 burst=4
  [monitor] 180.210.130.30: commands=2 score=0.820 burst=1
  [monitor] 109.160.32.118: commands=80 score=3.099 burst=2
  [monitor] 84.236.153.83: commands=2 score=0.820 burst=1
  [monitor] 203.189.188.176: commands=4 score=2.798 burst=4
  [monitor] 180.210.130.30: commands=2 score=0.820 burst=1
  [monitor] 109.160.32.118: commands=86 score=3.121 burst=2
  [monitor] 84.236.153.83: commands=2 score=0.820 burst=1
  [monitor] 203.189.188.176: commands=11 score=5.032 burst=7
  [monitor] 180.210.130.30: commands=2 score=0.820 burst=1
  [monitor] 109.160.32.118: commands=92 score=3.141 burst=2
  [monitor] 84.236.153.83: commands=2 score=0.820 burst=1
  [monitor] 203.189.188.176: commands=11 score=5.032 burst=7
  [monitor] 180.210.130.30: commands=2 score=0.820 burst=1
  [monitor] 109.160.32.118: commands=97 score=3.158 burst=2
  [monitor] 84.236.153.83: commands=2 score=0.820 burst=1
  [monitor] 203.189.188.176: commands=11 score=5.032 burst=7
  [monitor] 180.210.130.30: commands=2 score=0.820 burst=1
  [monitor] 109.160.32.118: commands=100 score=3.168 burst=2
  [monitor] 84.236.153.83: commands=2 score=0.820 burst=1
  [monitor] 203.189.188.176: commands=11 score=5.032 burst=7
  [monitor] 180.210.130.30: commands=2 score=0.820 burst=1
  [monitor] 109.160.32.118: commands=104 score=3.181 burst=3
  [monitor] 84.236.153.83: commands=2 score=0.820 burst=1
  [monitor] 203.189.188.176: commands=11 score=5.032 burst=7
  [monitor] 180.210.130.30: commands=2 score=0.820 burst=1
  [monitor] 109.160.32.118: commands=104 score=3.181 burst=3
  [monitor] 84.236.153.83: commands=2 score=0.820 burst=1
  [monitor] 203.189.188.176: commands=11 score=5.032 burst=7
  [monitor] 180.210.130.30: commands=2 score=0.820 burst=1
  [monitor] 109.160.32.118: commands=107 score=3.190 burst=3
  [monitor] 84.236.153.83: commands=2 score=0.820 burst=1
  [monitor] 203.189.188.176: commands=11 score=5.032 burst=7
  [monitor] 180.210.130.30: commands=2 score=0.820 burst=1
  [monitor] 109.160.32.118: commands=112 score=3.205 burst=3
  [monitor] 84.236.153.83: commands=2 score=0.820 burst=1
  [monitor] 203.189.188.176: commands=11 score=5.032 burst=7
  [monitor] 180.210.130.30: commands=2 score=0.820 burst=1
  [monitor] 109.160.32.118: commands=113 score=3.208 burst=3
  [monitor] 84.236.153.83: commands=2 score=0.820 burst=1
  [monitor] 203.189.188.176: commands=11 score=5.032 burst=7
  [monitor] 180.210.130.30: commands=2 score=0.820 burst=1
  [monitor] 109.160.32.118: commands=114 score=3.211 burst=3
  [monitor] 84.236.153.83: commands=2 score=0.820 burst=1
  [monitor] 203.189.188.176: commands=11 score=5.032 burst=7
  [monitor] 180.210.130.30: commands=2 score=0.820 burst=1
  [monitor] 109.160.32.118: commands=121 score=3.231 burst=3
  [monitor] 84.236.153.83: commands=2 score=0.820 burst=1
  [monitor] 203.189.188.176: commands=11 score=5.032 burst=7
  [monitor] 180.210.130.30: commands=2 score=0.820 burst=1
  [monitor] 109.160.32.118: commands=127 score=3.248 burst=3
  [monitor] 84.236.153.83: commands=2 score=0.820 burst=1
